매출일자,상품명,수량,판매금액
2021-02-01,무농약진주설향딸기,1,10900
2021-02-01,무농약한판딸기,1,9900
2021-02-01,스미후루순유기농바나나,1,3500
2021-02-01,유기농체다슬라이스치즈,1,6800
2021-02-01,제주마음우유,1,3400
2021-02-01,자연방목큐브스테이크,1,9900
2021-02-01,정직선별레드향세트,1,39900
2021-02-01,정직선별착한사과세트,1,39900
2021-02-01,국내산사과를담은사과식초,1,5900
2021-02-01,자유방목동물복지유정란,1,1370
2021-02-01,유기농귀리,2,9600
2021-02-01,유기농발아현미,2,18400
2021-02-01,유기하늘빛전두유검은콩후,1,37000
2021-02-01,우리밀진간장,1,7980
2021-02-01,유기농아보카도오일,1,19000
2021-02-01,무농약진주설향딸기,2,20550
2021-02-01,착한농부제주레드향,1,15930
2021-02-01,발아결명자차,1,9220
2021-02-01,무농약콩으로만든순한두부,1,2360
2021-02-01,무농약이상,1,2170
2021-02-01,유기농밤고구마,1,6600
2021-02-01,우리밀왕만두,1,3940
2021-02-01,무농약이상,1,1830
2021-02-01,마일드커피믹스,1,7240
2021-02-01,유기농순수설향딸기,1,9990
2021-02-01,무농약이상,1,3850
2021-02-01,고추장제육볶음,1,7240
2021-02-01,광양식소불고기,1,9070
2021-02-01,제주마음우유,1,3120
2021-02-01,자유방목동물복지유정란,1,8520
2021-02-01,국내산검은콩으로만든검은콩조림,1,5400
2021-02-01,밥에채소솔솔,1,2580
2021-02-01,밥에해물솔솔,1,2580
2021-02-01,밥에버섯솔솔,1,2580
2021-02-01,한우소고기뭇국,1,7050
2021-02-01,우수천일염을800℃이상에서3번구운참죽염,1,3900
2021-02-01,유기농발아참기름,1,8800
2021-02-01,무항생제한우로만든한우장조림,1,9900
2021-02-01,우리밀진간장,1,7980
2021-02-01,국내산멸치로만든아몬드멸치조림,1,5400
2021-02-01,국내산연근으로만든연근조림,1,5400
2021-02-01,볶음용멸치,2,17800
2021-02-01,들깨가루,1,15500
2021-02-01,동물복지유정란,1,7400
2021-02-01,무항생제한우산적용,2,53600
2021-02-01,유기농다크아메리카노,1,4000
2021-02-01,무농약이상,1,2300
2021-02-01,무농약이상,1,2850
2021-02-01,유기농야미떡뻥,1,2480
2021-02-01,미니초코웨하스,1,1900
2021-02-01,들기름,1,15000
2021-02-01,감자라면,20,27200
2021-02-01,무농약이상,1,2600
2021-02-01,통밀식빵,1,3180
2021-02-01,통살치킨안심가스,1,5200
2021-02-01,초코칩쿠키,1,3300
2021-02-01,예도가찹쌀유과,1,2400
2021-02-01,미니돈가스,1,5900
2021-02-01,부드러운팥양갱,2,2200
2021-02-01,곰돌이,1,1550
2021-02-01,부셔먹는라면스낵,3,4200
2021-02-01,동물복지닭날개,1,6800
2021-02-01,유기농콩으로키운콩나물,1,1900
2021-02-01,유기농순수감귤,1,7900
2021-02-01,부침이두부,1,2600
2021-02-01,무농약이상,1,3400
2021-02-01,보글이두부,1,2700
2021-02-01,부침이두부,1,2600
2021-02-01,유기농야미떡뻥,1,2480
2021-02-01,한입가득동그랑땡,1,7549
2021-02-01,경주빵,1,3383
2021-02-01,유기농순쌀떡뻥,2,4559
2021-02-01,동물복지유정란,1,5299
2021-02-01,유기농체다슬라이스치즈,1,6800
2021-02-01,동물복지제주유정란,1,5500
2021-02-01,아이스콤보,2,3600
2021-02-01,감자라면,6,9600
2021-02-01,무농약이상,1,4980
2021-02-01,아이스콤보,2,3600
2021-02-01,건치약포미,2,7600
2021-02-01,찰옥수수강냉이,1,3000
2021-02-01,유기농골든퀸,1,13500
2021-02-01,매실고추장470g,1,9800
2021-02-01,우리밀왕만두,2,8600
2021-02-01,무농약이상,1,4000
2021-02-01,우리통밀가루,1,3600
2021-02-01,발아통밀부침가루,1,3300
2021-02-01,부침이두부,1,2600
2021-02-01,보글이두부,1,2700
2021-02-01,지오바니유기농토마토바질파스타소스,1,8910
2021-02-01,유기농발아깨소금,2,7200
2021-02-01,갈아만든슬러시딸기,1,1299
2021-02-01,유기농순쌀떡뻥,2,4558
2021-02-01,우유식빵,1,4183
2021-02-01,유기농쌈케일,1,1600
2021-02-01,제주마음우유,1,3400
2021-02-01,치즈맛통통,2,1800
2021-02-01,네모어묵,1,3700
2021-02-01,감자라면,2,3200
2021-02-01,부침이두부,1,2600
2021-02-01,우리아이입안애유기농다진당근,1,3300
2021-02-01,우리아이입안애유기농다진브로콜리,1,3300
2021-02-01,우리아이입안애유기농다진단호박,1,3300
2021-02-01,정직선별착한혼합과일세트,15,538650
2021-02-01,무농약이상,1,1250
2021-02-01,부침이두부,1,2600
2021-02-01,정직선별착한혼합과일세트,-15,-538650
2021-02-01,정직선별착한혼합과일세트,15,538640
2021-02-01,무농약팽이버섯,1,700
2021-02-01,유기농맛타리버섯,1,1750
2021-02-01,아이홍삼,2,4000
2021-02-01,정직선별샤인머스캇,2,27800
2021-02-01,무농약한판딸기,2,19800
2021-02-01,무농약이상,1,8000
2021-02-01,유기농순수설향딸기,1,10900
2021-02-01,유기농밀크초콜릿,1,3300
2021-02-01,모닝빵,1,4230
2021-02-01,무농약콩나물,1,1250
2021-02-01,네모어묵,1,3700
2021-02-01,무농약이상,1,2500
2021-02-01,무농약이상,1,4000
2021-02-01,무농약이상,1,4980
2021-02-01,통째로짜낸자몽,2,3600
2021-02-01,유기농바나나,1,3500
2021-02-01,21곡초코롤,3,5224
2021-02-01,촉촉미니감자튀김,1,4254
2021-02-01,바삭김말이튀김,1,3200
2021-02-01,네모어묵,1,2795
2021-02-01,제주유기농우유,1,3135
2021-02-01,유기농순쌀떡뻥,2,4560
2021-02-01,제주유기농저지방우유,3,13160
2021-02-01,동물복지유정란,3,22200
2021-02-02,무농약이상,1,2200
2021-02-02,유기농쌈모음,1,2900
2021-02-02,유기농순수설향딸기,2,21800
2021-02-02,유기농콩으로키운콩나물,1,1900
2021-02-02,유기농순수감귤,1,7900
2021-02-02,무농약이상,1,3400
2021-02-02,들깨가루,1,15500
2021-02-02,착한농부제주레드향,1,16900
2021-02-02,도라지배즙,1,27000
2021-02-02,동물복지유정란,1,7400
2021-02-02,무농약이상,1,2250
2021-02-02,부침이두부,1,2600
2021-02-02,제주마음우유,1,3400
2021-02-02,동물복지유정란,1,5300
2021-02-02,우리콩쌈장,1,9900
2021-02-02,무농약깻잎,1,1400
2021-02-02,국내산왕새우,1,15900
2021-02-02,유기농발아참기름,2,17600
2021-02-02,초록개런티껍질째먹는사과,1,17900
2021-02-02,들깨가루,1,15500
2021-02-02,무농약이상,1,6980
2021-02-02,무농약이상,1,2300
2021-02-02,유기농현미,1,13300
2021-02-02,블랙벨벳린스,1,12000
2021-02-02,현미식빵,1,3980
2021-02-02,현미카스텔라,1,4230
2021-02-02,무농약깻잎,2,2800
2021-02-02,유기농쌈케일,2,3200
2021-02-02,무농약이상,1,5000
2021-02-02,자유방목동물복지유정란,1,9300
2021-02-02,간편찰미역,1,5200
2021-02-02,무농약이상,1,5000
2021-02-02,아몬드쿠키,1,3950
2021-02-02,야채소시지,1,3000
2021-02-02,통살치킨안심가스,1,5200
2021-02-02,유기농돌김자반,1,3900
2021-02-02,치즈맛통통,2,1800
2021-02-02,동물복지제주유정란,1,5500
2021-02-02,국내산고구마전분으로만든바른당면,1,2900
2021-02-02,지오바니유기농토마토바질파스타소스,1,8910
2021-02-02,네모어묵,1,3700
2021-02-02,유기농우리가족혼합견과,2,24336
2021-02-02,동물복지돈육으로만든한돈육포,1,3384
2021-02-02,밥에채소솔솔,1,2580
2021-02-02,밥에버섯솔솔,1,2580
2021-02-02,네모어묵,1,3700
2021-02-02,무농약이상,5,26500
2021-02-02,무농약이상,5,11000
2021-02-02,국내산무농약콩으로만든연한두부,1,2100
2021-02-02,한입가득동그랑땡,2,15100
2021-02-02,부드러운밤양갱,3,3300
2021-02-02,부드러운팥양갱,2,2200
2021-02-02,유기농엿기름,2,9000
2021-02-02,천연펄프키친타올,1,3800
2021-02-02,무농약건도라지,2,25000
2021-02-02,우리밀물만두,1,5900
2021-02-02,구운유정란,1,6800
2021-02-02,무농약새송이버섯,1,2600
2021-02-02,유기농가지말림,1,3000
2021-02-02,아이스콤보,6,10800
2021-02-02,무농약건곤드레,1,5600
2021-02-02,무농약건고사리,1,5500
2021-02-02,무농약호박말림,1,4700
2021-02-02,한입가득해물완자,1,7550
2021-02-02,무농약콩나물,1,1250
2021-02-02,한입가득동그랑땡,1,7550
2021-02-02,21곡초코롤,1,2300
2021-02-02,유기농발아참기름,1,8800
2021-02-02,무농약이상,1,4000
2021-02-02,무농약이상,1,3500
2021-02-02,부침이두부,1,2600
2021-02-02,착한농부꼬마사과,1,7500
2021-02-02,무농약콩나물,1,1250
2021-02-02,한우사골곰탕,3,9000
2021-02-02,해물한끼,2,2800
2021-02-02,우리밀왕만두,1,4300
2021-02-02,우리밀로만든두부스낵,1,2350
2021-02-02,무농약이상,1,4980
2021-02-02,무농약이상,-1,-4980
2021-02-02,무농약이상,1,4980
2021-02-02,BelNature유기농화장솜,2,4800
2021-02-02,무농약깐마늘,1,3300
2021-02-02,친환경초록잎샐러드,1,4000
2021-02-02,조림용멸치,1,8800
2021-02-02,우리밀빵가루,2,7360
2021-02-02,무농약한판딸기,2,19800
2021-02-02,유기농비트주스100,2,16800
2021-02-02,스미후루순유기농바나나,1,3500
2021-02-02,스미후루순유기농바나나,1,3500
2021-02-02,도토리묵,1,3400
2021-02-02,무농약이상,1,2200
2021-02-02,무농약콩나물,1,1250
2021-02-02,무농약이상,1,2600
2021-02-02,무농약깐마늘,1,3300
2021-02-02,우리밀고추장불고기,2,17600
2021-02-02,양념돼지갈비,3,31200
2021-02-02,무농약이상,1,2250
2021-02-02,단호박죽,1,3000
2021-02-02,스미후루순유기농바나나,1,3500
2021-02-02,영광법성포굴비,2,19800
2021-02-02,유기농구운아몬드,1,13600
2021-02-02,꿀한라봉차,2,7800
2021-02-02,정직선별노지감귤,1,9900
2021-02-02,졸리팝무설탕막대사탕,1,3100
2021-02-02,우리밀약과,1,3600
2021-02-02,우리아이입안애유기농다진당근,1,3300
2021-02-02,우리아이입안애유기농다진브로콜리,1,3300
2021-02-02,우리아이입안애유기농다진단호박,1,3300
2021-02-02,무농약한판딸기,1,9900
2021-02-02,21곡크림치즈롤,1,2980
2021-02-02,우리아이입안애유기농다진적양배추,1,3300
2021-02-02,유기농순수감귤,1,7900
2021-02-02,제주마음우유,1,3400
2021-02-02,미니딸기웨하스,2,3400
2021-02-02,유기농한입요거트블루베리칩,1,3900
2021-02-02,미니바닐라웨하스,2,3400
2021-02-02,순수사과칩,2,5200
2021-02-02,미니초코웨하스,1,1900
2021-02-02,무농약이상,1,2250
2021-02-02,무농약이상,1,6600
2021-02-02,무농약한판딸기,2,13860
2021-02-03,유기농그래놀라,1,5900
2021-02-03,유기농우리밀튀김가루,1,4200
2021-02-03,우리밀로만든계란쿠키,1,1300
2021-02-03,유기농그래놀라,-1,-5900
2021-02-03,유기농우리밀튀김가루,-1,-4200
2021-02-03,우리밀로만든계란쿠키,-1,-1300
2021-02-03,우리밀로만든계란쿠키,1,1300
2021-02-03,유기농그래놀라,1,5900
2021-02-03,유기농우리밀튀김가루,1,4200
2021-02-03,무농약깻잎,1,1400
2021-02-03,한컵에사과매실,7,16100
