Open,High,Low,Close
344990,347935,336648,341065
344990,349407,338611,347935
350388,352842,346953,346954
348425,352842,344500,350880
352842,363148,349407,360204
370018,379342,360203,367074
373453,379832,363148,376889
372962,382777,368055,374435
359222,367074,344500,345972
342537,343027,319472,322907
321435,339592,308185,308185
302296,311129,291009,306713
309657,318000,302296,305241
308185,311620,300824,306222
306712,309657,302296,304259
305731,316037,305240,315056
321435,328796,315546,316528
319962,326833,312111,322907
313583,331740,310148,328306
328305,332722,316527,318000
327814,375906,326833,364130
363148,363148,345972,348917
350879,352842,331740,341065
338611,343027,331250,335176
341064,348425,328796,335176
343518,344990,329777,329778
329777,331250,321925,321926
320453,325851,318490,325852
333703,337138,326833,326833
328796,329287,318490,318981
318490,322907,309657,315546
314074,320453,308675,308676
304750,312601,300333,312602
316037,316527,302787,303769
305240,306712,290518,290519
287083,295425,276777,276778
285120,303277,281194,302296
294444,298370,286592,291991
296898,301314,283157,286102
287083,300333,284629,297389
297388,304259,291990,300824
299351,301314,294444,295917
298370,298370,285120,285611
282666,286592,275305,282176
286101,291009,278740,280213
280212,291009,279231,287574
290518,295425,287574,291500
291009,291500,283648,283648
285120,292481,283648,291009
291009,292481,285611,288065
290027,293953,286592,286593
282666,285120,278740,281685
284629,289046,280703,283648
288555,298370,285611,287083
288555,296407,286592,294444
295916,301805,293462,301806
305731,310638,298370,308185
326342,328305,316037,324380
322416,322907,317018,317509
320453,323888,316527,318491
317509,321435,312111,318491
318490,319962,312111,314565
312111,313092,301314,302296
303277,307203,296407,297880
298370,306222,297388,300333
300824,305731,297388,305731
306712,308675,303277,303769
303768,305240,300333,304750
306712,313092,303277,310148
311129,313092,307203,309167
308675,309166,303277,303769
304749,306222,300824,302296
302296,307694,299842,303769
300824,302296,293953,294444
290027,291990,284629,285120
286592,289046,281685,282667
282666,285611,279722,282667
282666,283157,278740,279722
279722,280212,268435,268926
267453,276777,261074,265000
265490,271870,259111,263528
265000,267944,260092,261074
260092,263037,243898,244880
240953,255675,239481,255185
255185,256657,246351,247824
248805,266962,248314,261565
271379,272361,264018,269907
268435,271379,261564,265491
265490,269416,256657,257639
255675,265490,255185,260093
260092,266472,256657,265491
268925,271870,264018,264509
260092,268435,258620,266963
264018,267453,263527,265000
266962,270888,263527,263528
264018,264018,256657,257148
258129,266962,256166,266963
265000,267944,263037,265491
265490,266962,260092,264019
264509,270888,263037,268435
269907,272851,268925,269417
269416,270398,265000,267454
266472,267453,261564,261565
261074,266962,259111,261565
260583,263527,258129,262056
263037,264509,258620,259602
260092,265981,260092,264019
265490,266472,256657,256657
258620,262055,256166,260583
262055,266472,259601,260583
267453,276287,264018,275796
275796,276287,269907,269907
269416,269416,265000,266472
265000,266962,263527,264019
264018,266962,264018,265000
265000,276287,263527,275306
274814,275305,268435,268926
269907,278740,268925,276287
277759,279231,270398,273343
274324,275796,256166,260583
263527,265981,260583,261074
261074,263037,258620,260093
260583,265981,259601,263528
